ID,name,name_short,type,birth year,sex,hair,skin,place of birth,nationality,ethnicity,follower_insta,follower_tiktok,market_cap,season_gntm,place_gntm
jh,Jennifer Karin-Luise Hof,Jennifer Hof,model,1991,weiblich,blonde,light,Rodgau,german,german,"1,811",,,3,1
SonyErricson,Sony Erricson,Sony Erricson,cooperation,,,,,,,,,,,,
TalbotRunhof,Talbot Runhof,Talbot Runhof,cooperation,,,,,,,,,,,,
Castro,Castro,Castro,cooperation,,,,,,,,,,,,
MelbourneFashionWeek,Melbourne Fashion Week,Melbourne Fashion Week,cooperation,,,,,,,,,,,,
IMGModels,IMG Models,IMG Models,agency,,,,,,,,,,,,
JennyK.L.,Jenny K.L.,Jenny K.L.,cooperation,,,,,,,,,,,,
C&A,C&A,C&A,cooperation,,,,,,,,,,,,
PhilippPlein,Philipp Plein,Philipp Plein,cooperation,,,,,,,,,,,,
MarcelOstertag,Marcel Ostertag,Marcel Ostertag,cooperation,,,,,,,,,,,,
PerretSchaad,Perret Schaad,Perret Schaad,cooperation,,,,,,,,,,,,
AusbildungzurSteuerfachangestellten,Ausbildung zur Steuerfachangestellten,Ausbildung zur Steuerfachangestellten,private,,,,,,,,,,,,
jds,Janina Delia Schmidt,Janina Schmidt,model,1984,weiblich,brown,light,Hamburg,german,german,938,,,3,2
Volkswagen,Volkswagen,Volkswagen,cooperation,,,,,,,,,,,,
ElleMacPherson ,Elle MacPherson Lingerie,Elle MacPherson ,cooperation,,,,,,,,,,,,
NintendoDS,Nintendo DS,Nintendo ,cooperation,,,,,,,,,,,,
SeverinHairCare,Severin Hair Care,Severin Hair Care,cooperation,,,,,,,,,,,,
Rock&Republic,Rock & Republic,Rock & Republic,cooperation,,,,,,,,,,,,
Otto,Otto,Otto,cooperation,,,,,,,,,,,,
GNTM-Videospiel,Germany's Next Topmodel - das offizielle Spiel zur neuen Staffel 2009,GNTM-Videospiel,cooperation,,,,,,,,,,,,
DickeLiebe,Dicke Liebe,Dicke Liebe,movie,,,,,,,,,,,,
Modelbooking,Modelbooking,Modelbooking,cooperation,,,,,,,,,,,,
Celiaczerlisnki,Celiaczerlisnki,Celiaczerlisnki,cooperation,,,,,,,,,,,,
cl,Christina Leibold,Christina Leibold,model,1992,weiblich,brown,light,Volkach-Fahr,german,german,,,,3,3
Gilette,Gilette,Gilette,cooperation,,,,,,,,,,,,
Medienmanagement-Studium,Medienmanagement-Studium,Medienmanagement,private,,,,,,,,,,,,
le,Lovelyn Chinwe Enebechi,Lovelyn Enebechi,model,1996,weiblich,black,medium,Hamburg,german,german,74.9K,49,,8,1
le,Lovelyn Chinwe Enebechi,Lovelyn Enebechi,model,1996,weiblich,black,medium,Hamburg,german,nigerian,74.9K,49,,8,1
ONEeins,ONEeins Management,ONEeins,agency,,,,,,,,,,,,
PMA ,PMA Models,PMA Models,agency,,,,,,,,,,,,
Abitur,Abitur,Abitur,private,,,,,,,,,,,,
 AnnetteGoertz, Annette Goertz, Annette Goertz,cooperation,,,,,,,,,,,,
Breuninger,Breuninger,Breuninger,cooperation,,,,,,,,,,,,
